content_id,title,year
1001,The Shawshank Redemption,1994
1002,Inception,2010
1003,Parasite,2019
1004,The Grand Budapest Hotel,2014
1005,Planet Earth II,2016
1006,Breaking Bad,2008
1007,Amélie,2001
1008,The Dark Knight,2008
1009,Moonlight,2016
1010,Spirited Away,2001
1011,Casablanca,1942
1012,Get Out,2017
1013,The Office,2005
1014,Mad Max: Fury Road,2015
1015,Jiro Dreams of Sushi,2011
1016,Chernobyl,2019
1017,8½,1963
1018,Funny Games,2007
1019,Fleabag,2016
1020,Suspiria,2018
1021,Coherence,2013
